"","screen_name","text","link","date","year","week","dmy","rt_user","hashtags"
"698","@muusaebaer","RT @eta_systems: Ich hatte einen Traum; mehrere Nationalräte von @CVP_PDC und @BDPSchweiz haben zugegeben dass Gesetz 16.479-1, auch Versicherungsspitzelgesetz genannt ein Fehler war. Und sie Unterstützung beim Referendung gegen #Versicherungsspitzel Teilnehmen.
Es wäre so schön.
#Selbstkritik","http://twitter.com/muusaebaer/status/982961959619395584",2018-04-08 14:42:00,2018,14,2018-04-08,"RT @eta_systems:","c(""#versicherungsspitzel "", ""#selbstkritik"")"
"699","@SibylleBerg","RT @eta_systems: Ich hatte einen Traum; mehrere Nationalräte von @CVP_PDC und @BDPSchweiz haben zugegeben dass Gesetz 16.479-1, auch Versicherungsspitzelgesetz genannt ein Fehler war. Und sie Unterstützung beim Referendung gegen #Versicherungsspitzel Teilnehmen.
Es wäre so schön.
#Selbstkritik","http://twitter.com/SibylleBerg/status/982962055216009216",2018-04-08 14:43:00,2018,14,2018-04-08,"RT @eta_systems:","c(""#versicherungsspitzel "", ""#selbstkritik"")"
"700","@boeserbube_com","RT @benjigautschi: All die Twitter-User, die in ihrer Bio von „Freiheit“, „für den freien Menschen“ und „Mehr Freiheit - weniger Staat“ schwafeln und dann für #Versicherungsspitzel sind. Really? <f0><U+009F><U+0098><U+0082><f0><U+009F><U+00A4><U+00A6><U+200D><U+2642><U+FE0F><f0><U+009F><U+0098><U+00A2> #Überwachungsstaat #Freiheit","http://twitter.com/boeserbube_com/status/982963321795170305",2018-04-08 14:48:00,2018,14,2018-04-08,"RT @benjigautschi:","c(""#versicherungsspitzel "", ""#überwachungsstaat "", ""#freiheit"")"
"701","@Jaris_uhu","RT @ma_rieba: Wie die angeblich «hochseriösen» #Versicherungsspione arbeiten: «Die Momente, in denen Roth laut ­Ermittlungsbericht für schwere Lasten die rechte Hand einsetzt, sind filmisch nie ­festgehalten, die Szenen davor und danach dagegen schon.»
https://t.co/4ka0laIUJ1","http://twitter.com/Jaris_uhu/status/982963609159520256",2018-04-08 14:49:00,2018,14,2018-04-08,"RT @ma_rieba:","#versicherungsspione "
"702","@dani_graf","@muusaebaer @eta_systems @Dede71Mueller @SchenkerSilvia @DimitriRougy @SibylleBerg @BDPSchweiz <f0><U+009F><U+0091><U+0089> Eine der ersten Spenden fürs Referendum kam von einem Zürcher FDP-Partei-Mitglied. Mit dem Gesetz habe das Parlament eine rote Linie überschritten. Das Volk müsse dies jetzt korrigieren. #Versicherungsspione","http://twitter.com/dani_graf/status/982967739496230913",2018-04-08 15:05:00,2018,14,2018-04-08,NA,"#versicherungsspione"
"703","@wecollectCH","RT @dani_graf: <f0><U+009F><U+0091><U+0089> „Ich habe noch nie ein Referendum unterschrieben. Wie geht das genau?“ Bekomme gerade viele solche E-Mails. #versicherungsspione @wecollectCH","http://twitter.com/wecollectCH/status/982967872396976128",2018-04-08 15:06:00,2018,14,2018-04-08,"RT @dani_graf:","#versicherungsspione "
"704","@muusaebaer","RT @dani_graf: @muusaebaer @eta_systems @Dede71Mueller @SchenkerSilvia @DimitriRougy @SibylleBerg @BDPSchweiz <f0><U+009F><U+0091><U+0089> Eine der ersten Spenden fürs Referendum kam von einem Zürcher FDP-Partei-Mitglied. Mit dem Gesetz habe das Parlament eine rote Linie überschritten. Das Volk müsse dies jetzt korrigieren. #Versicherungsspione","http://twitter.com/muusaebaer/status/982968426993012736",2018-04-08 15:08:00,2018,14,2018-04-08,"RT @dani_graf:","#versicherungsspione"
"705","@fischchristian","RT @Ugugu: Jetzt wo die @spschweiz (olé, olé!) auch an Bord ist, könnten wir #Versicherungsspione ja mal trenden lassen, einfach so, weil wir es können. Braucht ja noch ein paar Unterschriften.","http://twitter.com/fischchristian/status/982968764298821633",2018-04-08 15:09:00,2018,14,2018-04-08,"RT @Ugugu:","#versicherungsspione "
"706","@NussbaumRoy","RT @MarkusGilli: #SonnTalk: Die Themen: Sozialdetektive: Schnüffelstaat oder Kampf gegen Betrüger? Waffenrecht: Prävention oder Misstrauen? Putin: Diplomatie oder Härte? Meine Gäste: @JayBadran (SP), Pirmin Bischof (CVP) &amp; Thomas Matter (SVP). Ab 18:20h live auf TeleZüri, Tele M1 und TeleBärn.","http://twitter.com/NussbaumRoy/status/982968790064533504",2018-04-08 15:09:00,2018,14,2018-04-08,"RT @MarkusGilli:","#sonntalk: "
"707","@fischchristian","@Ugugu @spschweiz Da sich noch nicht alle einig sind, ob #Versicherungsspione oder #Versicherungsspitzel besser ist, nehm ich gleich beide. https://t.co/eKOkPhnY6h","http://twitter.com/fischchristian/status/982969664178442244",2018-04-08 15:13:00,2018,14,2018-04-08,NA,"c(""#versicherungsspione "", ""#versicherungsspitzel "")"
